,Sample,Microbes,Culture,Media,Strain,Mean_TIC,TOTAL_TIC,CORRECTION2,PEAK_AREA,PEAK_AREA_TIC,PEAK_AREA_TIC_Log,PEAK_AREA_Log,TIC_Log_Scaled,Metabolites,Log_Scaled,Class,Sample_ID_F
1827,24,Media,Control,SA,Media,67666627,104760233.8,1.548181703,3086026,4777728.989,6.679221511,6.489399581,0.009860246,Serine_1Bz,-0.087946931,Amino Acids,24_Media_Control_SA_Media
1828,24,Media,Control,SA,Media,67666627,104760233.8,1.548181703,2689709,4164158.261,6.619527227,6.429705296,0.119045962,Threonine_1Bz,-0.001935591,Amino Acids,24_Media_Control_SA_Media
1829,24,Media,Control,SA,Media,67666627,104760233.8,1.548181703,2551272,3949832.63,6.596578693,6.406756763,-0.003187673,Tyrosine_2Bz,-0.101273957,Amino Acids,24_Media_Control_SA_Media
1830,24,Media,Control,SA,Media,67666627,104760233.8,1.548181703,5968671,9240587.235,6.965699571,6.775877641,0.683431717,Valine_1Bz,0.45656147,Amino Acids,24_Media_Control_SA_Media
2335,47,Media,Control,SA,Media,57831738,104760233.8,1.811466116,4739476,8585400.183,6.933760543,6.675730328,0.286871145,Alanine_1Bz,0.037734275,Amino Acids,47_Media_Control_SA_Media
2336,47,Media,Control,SA,Media,57831738,104760233.8,1.811466116,6398100,11589941.36,7.064081239,6.806051024,-0.158225044,Arginine_1Bz,-0.423848127,Amino Acids,47_Media_Control_SA_Media
2337,47,Media,Control,SA,Media,57831738,104760233.8,1.811466116,388038,702917.6889,5.846904472,5.588874258,-0.64595869,Asparagine_1Bz,-0.71809402,Amino Acids,47_Media_Control_SA_Media
2338,47,Media,Control,SA,Media,57831738,104760233.8,1.811466116,1081911,1959845.117,6.292221751,6.034191536,-0.134347757,Aspartic.Acid_1Bz,-0.347456652,Amino Acids,47_Media_Control_SA_Media
2339,47,Media,Control,SA,Media,57831738,104760233.8,1.811466116,3483208,6309713.268,6.800009624,6.541979409,1.04765673,Beta.Alanine_1Bz,0.929284197,Amino Acids,47_Media_Control_SA_Media
2340,47,Media,Control,SA,Media,57831738,104760233.8,1.811466116,145899,264291.0949,5.42208253,5.164052315,0.200544451,Citrulline_1Bz,0.063774967,Amino Acids,47_Media_Control_SA_Media
2341,47,Media,Control,SA,Media,57831738,104760233.8,1.811466116,2131516,3861169.011,6.586718812,6.328688597,-0.349687591,Glutamic.Acid_1Bz,-0.509002193,Amino Acids,47_Media_Control_SA_Media
2342,47,Media,Control,SA,Media,57831738,104760233.8,1.811466116,481885,872918.3495,5.940973623,5.682943408,0.224798871,Glutamine_1Bz,-0.020286359,Amino Acids,47_Media_Control_SA_Media
2343,47,Media,Control,SA,Media,57831738,104760233.8,1.811466116,884248,1601785.29,6.204604301,5.946574086,-0.252916981,Glycine_1Bz,-0.374112964,Amino Acids,47_Media_Control_SA_Media
2344,47,Media,Control,SA,Media,57831738,104760233.8,1.811466116,1184473,2145632.705,6.33155538,6.073525165,-0.152907076,Histidine_1Bz,-0.356594683,Amino Acids,47_Media_Control_SA_Media
2345,47,Media,Control,SA,Media,57831738,104760233.8,1.811466116,2103762,3810893.58,6.581026821,6.322996606,0.122652819,Isoleucine_1Bz,-0.121587731,Amino Acids,47_Media_Control_SA_Media
2346,47,Media,Control,SA,Media,57831738,104760233.8,1.811466116,5255317,9519828.676,6.978629133,6.720598918,0.264430779,Leucine_1Bz,-0.003886736,Amino Acids,47_Media_Control_SA_Media
2347,47,Media,Control,SA,Media,57831738,104760233.8,1.811466116,5134255,9300528.965,6.96850765,6.710477435,0.062661105,Lysine_2Bz,-0.18406466,Amino Acids,47_Media_Control_SA_Media
2348,47,Media,Control,SA,Media,57831738,104760233.8,1.811466116,1755064,3179238.968,6.502323173,6.244292958,0.529732366,N.acetylputrescine_1Bz,0.333044286,Amino Acids,47_Media_Control_SA_Media
2349,47,Media,Control,SA,Media,57831738,104760233.8,1.811466116,1927100,3490876.353,6.542934466,6.284904251,-0.036993381,Ornithine_2Bz,-0.212120755,Amino Acids,47_Media_Control_SA_Media
2350,47,Media,Control,SA,Media,57831738,104760233.8,1.811466116,3406664,6171056.406,6.790359516,6.532329301,0.268456258,Phenylalanine_1Bz,0.003129159,Amino Acids,47_Media_Control_SA_Media
2351,47,Media,Control,SA,Media,57831738,104760233.8,1.811466116,7040894,12754340.91,7.105658021,6.847627806,0.445889005,Proline_1Bz,0.185993214,Amino Acids,47_Media_Control_SA_Media
2352,47,Media,Control,SA,Media,57831738,104760233.8,1.811466116,2788487,5051249.716,6.703398839,6.445368624,0.064486693,Serine_1Bz,-0.172216479,Amino Acids,47_Media_Control_SA_Media
