Feature ID	Taxon	Strain	Strain2	Confidence
4ce18a71eb08704db8694b43ae5a8830	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Trechisporales;f__Hydnodontaceae;g__Brevicellicium;s__Brevicellicium_olivascens			1
f1cc17236eb75883b9d893ce11e4c177	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium			0.999745839
7ae68919c256bb51febbd7f4c8365f87	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Verticillium;s__Verticillium_nubilum			0.976408181
fbc0ba9e116183387544a48e9968b212	k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Rhodotorula			0.999999663
0d4a6efc66b195697a9c2b5896481abd	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Rhynchogastremataceae;g__Papiliotrema;s__Papiliotrema_laurentii			0.996123572
68ff4efdc4a74db4cebe02fec7c12525	k__Fungi;p__Ascomycota			0.918707982
d0e06ae7fdce891dea5b370abdf10a61	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Bondarzewiaceae;g__Heterobasidion;s__Heterobasidion_parviporum			0.997343864
f60dd00545584b2196ac0f5182c341ff	k__Fungi			1
b32f07dbe22130cb3e0a23276eeead4a	k__Fungi			1
a3bf025e04b95196959404c452766c22	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Peniophoraceae;g__Peniophora;s__Peniophora_taiwanensis			0.999999962
ee3f4e0070810d1e4511f56df27cacf6	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella			0.818395872
f6404863eecf337a40a4fba2a9286803	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Dioszegia;s__Dioszegia_fristingensis			0.984689083
23232107615153a762ea5e48b69422f2	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Plectosphaerella;s__Plectosphaerella_oratosquillae			0.743067041
b3956f467d4ab7aa02edcfa82e6f84b1	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Dichotomopilus;s__Dichotomopilus_sp			0.999741327
dfd2cd5cdf911be45fd0eb4a2ff8742e	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Leptospora			0.99925549
39867579dc61879c988bbe6979af1f2d	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_herbarum			0.980912612
79f3db03829419acd5f40eba1a6fc025	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Dichotomopilus;s__Dichotomopilus_sp			0.999829233
a9305ea2e71bbfa2c1b60d98c368aba0	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Rhynchogastremataceae;g__Papiliotrema;s__Papiliotrema_laurentii			0.999155144
bd25e9e422e38d89acf73369e6a67a85	k__Fungi			1
2e14e6d335b5c867eb755e045515a508	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Candida;s__Candida_atlantica			0.999770608
a330e8826db44bf0093f4d6c103aea9b	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Rhynchogastremataceae;g__Papiliotrema;s__Papiliotrema_laurentii			0.993882812
a57877eef7094527a99b210fb5285d13	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae			0.999997969
0489040108d49e8e98bec0a786b8bb27	k__Fungi			1
