	Rep	Media	Chamber	Chamber_strain	Chamber_strain_2	Combinaison	Chamber_num	Plate	Well	Comment	Collect	Strains	Ct	Manip
183	1	TSB50	1	R401	R401	R401_FSC	Chamber 1	P1	E7		150	Fungi	28.24	Fungi
184	1	TSB50	2	FSC	FSC	R401_FSC	Chamber 2	P1	E8		150	Fungi	20.89	Fungi
185	2	TSB50	1	R401	R401	R401_FSC	Chamber 1	P1	E9		150	Fungi	28.41	Fungi
186	2	TSB50	2	FSC	FSC	R401_FSC	Chamber 2	P1	E10		150	Fungi	19.51	Fungi
187	3	TSB50	1	R401	R401	R401_FSC	Chamber 1	P1	E11		150	Fungi	28.92	Fungi
188	3	TSB50	2	FSC	FSC	R401_FSC	Chamber 2	P1	E12		150	Fungi	21.21	Fungi
189	4	TSB50	1	R401	R401	R401_FSC	Chamber 1	P1	F1	Failed top	150	Fungi		Fungi
190	4	TSB50	2	FSC	FSC	R401_FSC	Chamber 2	P1	F2	Failed top	150	Fungi		Fungi
191	5	TSB50	1	MR401	MR401	MR401_FSC	Chamber 1	P1	F3		150	Fungi	28.68	Fungi
192	5	TSB50	2	FSC	FSC	MR401_FSC	Chamber 2	P1	F4		150	Fungi	17.02	Fungi
193	6	TSB50	1	MR401	MR401	MR401_FSC	Chamber 1	P1	F5		150	Fungi	27.89	Fungi
194	6	TSB50	2	FSC	FSC	MR401_FSC	Chamber 2	P1	F6		150	Fungi	18.03	Fungi
195	7	TSB50	1	MR401	MR401	MR401_FSC	Chamber 1	P1	F7		150	Fungi	27.49	Fungi
196	7	TSB50	2	FSC	FSC	MR401_FSC	Chamber 2	P1	F8		150	Fungi	17.26	Fungi
197	8	TSB50	1	MR401	MR401	MR401_FSC	Chamber 1	P1	F9		150	Fungi	28.62	Fungi
198	8	TSB50	2	FSC	FSC	MR401_FSC	Chamber 2	P1	F10		150	Fungi	17.4	Fungi
199	9	TSB50	1	C	C	MF_FSC	Chamber 1	P1	F11		150	Fungi	28.51	Fungi
200	9	TSB50	2	FSC	FSC	MF_FSC	Chamber 2	P1	F12		150	Fungi	17.44	Fungi
201	10	TSB50	1	C	C	MF_FSC	Chamber 1	P1	G1		150	Fungi	28.87	Fungi
202	10	TSB50	2	FSC	FSC	MF_FSC	Chamber 2	P1	G2		150	Fungi	16.47	Fungi
203	11	TSB50	1	C	C	MF_FSC	Chamber 1	P1	G3		150	Fungi	28.9	Fungi
204	11	TSB50	2	FSC	FSC	MF_FSC	Chamber 2	P1	G4		150	Fungi	16.62	Fungi
205	12	TSB50	1	C	C	MF_FSC	Chamber 1	P1	G5		150	Fungi	29.02	Fungi
206	12	TSB50	2	FSC	FSC	MF_FSC	Chamber 2	P1	G6		150	Fungi	16.11	Fungi
223	21	TSB50	1	C	C	Control	Chamber 1	P1	H11	Failed top	150	Fungi		C
224	21	TSB50	2	C	C	Control	Chamber 2	P1	H12	Failed top	150	Fungi		C
225	22	TSB50	1	C	C	Control	Chamber 1	P2	A1		150	Fungi	27.62	C
226	22	TSB50	2	C	C	Control	Chamber 2	P2	A2		150	Fungi	27.98	C
227	23	TSB50	1	C	C	Control	Chamber 1	P2	A3		150	Fungi	28.15	C
228	23	TSB50	2	C	C	Control	Chamber 2	P2	A4		150	Fungi	28.15	C
229	24	TSB50	1	C	C	Control	Chamber 1	P2	A5		150	Fungi	28.3	C
230	24	TSB50	2	C	C	Control	Chamber 2	P2	A6		150	Fungi	28.11	C
231		TSB50	1	Control	Bottle	Control_Bottle_1	Chamber 1	P2	A7		150	Fungi	28.28	C
232		TSB50	2	Control	Bottle	Control_Bottle_1	Chamber 2	P2	A8		150	Fungi	27.82	C
233		TSB50	1	Control	Bottle	Control_Bottle_1	Chamber 1	P2	A9		150	Fungi	27.28	C
234		TSB50	2	Control	Bottle	Control_Bottle_2	Chamber 2	P2	A10		150	Fungi	28.29	C
235		TSB50	1	Control	Bottle	Control_Bottle_2	Chamber 1	P2	A11		150	Fungi	28.1	C
236		TSB50	2	Control	Bottle	Control_Bottle_2	Chamber 2	P2	A12		150	Fungi	27.16	C
